reviewId,content,clean_content,at,score,sentimen
de6ff917-5c59-4594-a44e-970a99b900ab,min apakah server dana sedang bermasalah.? karena tdk bisa login,min apakah server dana sedang bermasalah karena tdk bisa login,2025-06-22 15:42:57,4,negatif
7d77fd1e-7ca8-49d2-9a21-f98d449f481c,"sangat kecewa, saat akan scan wajah selalu gagal, padahal saya sudah coba dibawah cahaya apalah, coba di hp yg berbeda selalu pemindaian wajah gagal, tolong benahi fitur ini, sangat mengesalkan ketika ingin mengganti nomor atau login dana kembali, sulit karna sistem pemindaian wajah yg bobrok, tolong benahi juga dgn apple service supaya tdk asal comot saldo ketika coba refund gabisa, copot langganan jg gabisa",sangat kecewa saat akan scan wajah selalu gagal padahal saya sudah coba dibawah cahaya apalah coba di hp yg berbeda selalu pemindaian wajah gagal tolong benahi fitur ini sangat mengesalkan ketika ingin mengganti nomor atau login dana kembali sulit karna sistem pemindaian wajah yg bobrok tolong benahi juga dgn apple service supaya tdk asal comot saldo ketika coba refund gabisa copot langganan jg gabisa,2025-06-22 15:25:46,3,negatif
7c8a9e0f-5692-4f6b-a6cc-0a2e17a43569,kenapa sdah scan wajah harus masukkan kembali kode otp?.jika simcard hilang atau sdah ta aktif bagaimana mau bisa log in...tolonglah ckup dengan scan wajah saja,kenapa sdah scan wajah harus masukkan kembali kode otpjika simcard hilang atau sdah ta aktif bagaimana mau bisa log intolonglah ckup dengan scan wajah saja,2025-06-22 15:21:14,1,negatif
89f7544c-4499-4049-92a2-69448b8b678b,sayang nya gak ada fitur menu buat pinjam dana berupa uang atau paket data internet,sayang nya gak ada fitur menu buat pinjam dana berupa uang atau paket data internet,2025-06-22 15:17:11,4,negatif
c88e59dc-4995-4784-b61b-076739e41a11,sangat nyaman,sangat nyaman,2025-06-22 15:15:24,5,positif
28aa1a07-5522-42b9-84fe-eb65fd3aafd6,apakah benar ada yang namanya dana cicil / paylater...???,apakah benar ada yang namanya dana cicil paylater,2025-06-22 15:05:09,1,negatif
e5d0b1fa-f415-4faa-9ad5-995b664a54c7,setelah saya install aplikasi ny malah Ngebug di kode verifikasi dan itu terulang terus menerus,setelah saya install aplikasi ny malah ngebug di kode verifikasi dan itu terulang terus menerus,2025-06-22 15:00:06,1,negatif
491c5b56-f7ae-4dcd-9ae1-40b4a35eea81,"uang hilang tanpa ada transaksi yang saya lakukan, keamanannya minim, sedangkan admin makin besar",uang hilang tanpa ada transaksi yang saya lakukan keamanannya minim sedangkan admin makin besar,2025-06-22 14:52:11,1,negatif
7a443268-6c8c-4c58-9fe3-175a235e3c15,terlalu banyak bug saat verifikasi wajah TDK dapat masuk,terlalu banyak bug saat verifikasi wajah tdk dapat masuk,2025-06-22 14:43:52,1,negatif
bddcf99c-b43c-4f93-8e6d-7b06dd10141d,"himbauan saya,jangan pakai aplikasi ini...Karena tidak aman...uang saya di kehilangan di aplikasi Dana 300rb.. sekali lagi aplikasi ini tidak Aman....",himbauan sayajangan pakai aplikasi inikarena tidak amanuang saya di kehilangan di aplikasi dana rb sekali lagi aplikasi ini tidak aman,2025-06-22 14:39:16,1,negatif
59247105-f492-422b-b476-5610d7f04dfb,"maaf saya cuman kasih bintang 1 itu juga kepaksa kasian aja, Jujur saya kecewa pake apk dana, Keamanannya cetek gampang dibobol, Namanya doang udah premium pake verif KTP segala, Tapi hasilnya zonk, Masa saya top up saldo malem 350k terus pagi2 udah ludes semua ada yang narik, Tanpa saya tahu apa lagi konfirmasi...",maaf saya cuman kasih bintang itu juga kepaksa kasian aja jujur saya kecewa pake apk dana keamanannya cetek gampang dibobol namanya doang udah premium pake verif ktp segala tapi hasilnya zonk masa saya top up saldo malem k terus pagi udah ludes semua ada yang narik tanpa saya tahu apa lagi konfirmasi,2025-06-22 14:26:30,1,negatif
c1c31b02-e721-4df7-a6d3-e549f384e904,ak ngk bisa loding ni min gara² pke verifikasi wajah perbaiki lah update kok mlh bikin kecewa ni,ak ngk bisa loding ni min gara pke verifikasi wajah perbaiki lah update kok mlh bikin kecewa ni,2025-06-22 14:23:40,1,negatif
