reviewId,content,annotator_1,annotator_2,label_final
70c0b377-3eb9-4ed2-ad6f-bca8d70d4d4d,Makin Buruk Saja DANA Masa Mau Login For Close Terus.,negatif,negatif,negatif
3d2ece05-38d7-4295-b79d-3cf7a84a20d7,keamanan yg buruk uang saya ilang tiba2 katanya udah transaksi padahal saya tidak melakukan transaksi apapun pas saya minta refund saya di tolak,negatif,negatif,negatif
eda35517-462e-4b27-a8b4-ae76dc91ad20,dana saya bermasalah tidak bisa login,negatif,negatif,negatif
519646d1-93f3-4173-a7de-8a091dda41e0,otp jangan d batasi di karenakan ada keperluan biarin aja selagi aman untuk digunakan,ambigu,positif,positif
7188f50c-c8f9-4ab1-ad11-f9b8c2efba11,"sangat memudah buat melakukan transaksi, apa lagi kalo di dana bisa mengajukan pinjaman buat modal usaha🙏",positif,positif,positif
1d460300-6215-403c-8089-4a6883bd2360,"saldo saya tersedot 35.000 transaksi pembayaran nya google one,aplikasi tidak aman Jangan instal aplikasi ini",negatif,negatif,negatif
e02264cd-5367-4baa-aa9c-c53f09ef0f21,"SARANNNNN!!!!! YANG MAU DONLOT DANA MENDING PIKIR2 LAGI DEH, MASIH BANYAK APK YG LEBIH BERGUNA DARI PADA DANA!!! SIAP2 AJA DATA LO BOBOL DUIT TBTB HILANG, AKUN GA AMAN & GA ADA REFUND!!!! BIASANYA MAU BAYAR APA2 ADA VERIFIKASI WAJAH DLL INI MANAAAAA WOI?!!!!!! COBA BUAT CHAT CS SECARA BAIK2 MALAH BOT YG BALES!!! TIDAK DI REKOMENDASIKAN UNTUK MENDONLOT DANA!!!!!!",negatif,negatif,negatif
fad821fa-398b-439e-b74a-cd858f5c6768,tingkat kan keamanan,negatif,negatif,negatif
a50b4715-5890-4809-bc88-94f7230ba94f,tingkatkan kualitas keamanan akun,negatif,negatif,negatif
9a490483-210a-4722-90cf-f96c623da2fb,FITUR DANA SEKARANG MENGECEWAKAN BUAT APLIKASI PINJAMAN LEWAT DANA GAK ADA PAYLATER NYA LAGI,ambigu,ambigu,ambigu
a37ac53a-4a5c-483a-bb4f-c15f33809b42,tidak amanah uang says ilang 1.800.000 uang saya balikin. saya sebarkan. saya akan sebarkan.,negatif,negatif,negatif
14b37f1e-46c7-4284-a6bd-df913d2af30d,Kenapa harus ada iklan dari website seperti google ads di aplikasinya? Apakah adanya iklan tsb aman?,ambigu,ambigu,ambigu
1d212fbe-38ab-4131-9edc-77858527c406,"Aku pake dsna sudah lama Alhamdulillah tahun 2025 dapat dana cicil seperti paylatter bisa beli pulsa,beli token, beli tagihan ,dan belanja di ecommerce seperti shopee lazada dan tiktok, mantap dana ku dapat paylatter semoga limit paylaterku di tambah 10juta agar bisa banyak transaksi kedepannya🙏 saya yang bergaji 5jt keatas bagus bisa pinjam dulu lalu bayar 2 Minggu sekali mantap dana 👍👍👍",positif,positif,positif
d85659d9-7ac7-47aa-96ac-0be140e96f6f,baik dan aman,positif,positif,positif
85382b0d-c740-417e-ab0b-f31abbe7fbb2,"tidak aman lagi pake dana, komplain uang dicuri apk yg tidak dikena saja gak ada kelanjutannya",negatif,negatif,negatif
ce76de54-063f-4a08-a416-3178cda90629,"tambah update,tambah jelek,dulu kalo login tanpa kartu bisa,sekarang harus pake notifikasi aelah sampah",negatif,negatif,negatif
72efb755-7c29-4567-afa7-19ef16a48a5a,"ini dana gimana sih keamanannya tolok banget,masa duit gw ilang 2 kli, kmrin2 ilang 500 ribu lebih,skrang 100 ribu",negatif,negatif,negatif
68801605-a94f-4794-b372-fbaac1061c88,"udh 2th pke DANA gak pernah ada masalah. Transfer, Bayar, dan Terima uang lancar2 aja. bahkan meski udh ganti nomornya tpi data yg dulu tetap 100% aman.",positif,positif,positif
3fb3a7f3-fff0-411f-bb59-2d1f9b969b94,sangat bagus lumayan aman,positif,positif,positif
38cbcce8-858e-450a-b868-543eac5d6a34,uang lenyap begitu saya . hati hati buat pengguna dana . lebih aman d aplikasi ovo atau banking sekalian . dana rawan kehilangan saldo . sudah melakukan via telpon dan email tapi sampai 2 bulan tidak ada tindakan . sdh 2 bulan di email ga ada respon,negatif,negatif,negatif
